NUMBER	ENGLISH
1	All
2	arm
3	arrow
4	ash
5	axe
6	back
7	bad/evil
8	bamboo
9	banana
10	basket
11	bat
12	be wrong
13	beans
14	beard
15	belly
16	big
17	bird
18	bite
19	black
20	blow
21	bone
22	boy
23	branch
24	break
25	breast
26	breathe
27	burn (intr)
28	burn (tr)
29	bury
30	bush
31	butterfly
32	canoe
33	cashew
34	chest
35	cloud
36	coati
37	comb
38	come
39	corn
40	cotton
41	cry
42	cut
43	dance
44	day
45	defecate
46	die
47	dirty
48	do/make
49	draw/paint
50	dress up
51	dry
52	dry (state)
53	earth/land
54	eat
55	enter
56	eye
57	face
58	fall
59	fat/grease
60	far
61	fa- ther
62	fear
63	finger
64	fire
65	firefly
66	firewood
67	fish
68	flat
69	flesh
70	flour
71	flower
72	foot
73	fly
74	fly (noun)
75	four
76	frog
77	fruit
78	full
79	gather
80	girl
81	give
82	go
83	go up
84	good
85	grandfather
86	grass
87	green
88	grow
89	hair
90	hammock
91	hand
92	happy
93	hawk
94	heal
95	hear/listen
96	heart
97	heat up/warm up
98	heavy
99	hedgehog
100	help
101	hen
102	hide
103	hit
104	hole
105	hot
106	house
107	howler monkey
108	husband
109	cay- man
110	jaguar
111	kill
112	knee
113	knife
114	know
115	lake
116	laugh
117	leaf
118	learn
119	leg
120	lie
121	liver
122	long
123	look at
124	loose
125	louse
126	man
127	manioc
128	many
129	medicine
130	mon- key
131	moon
132	mosquito
133	mother
134	mother in law (2)
135	mountain
136	moustache
137	nail/claw
138	name
139	neck
140	nest
141	new
142	night
143	nose
144	one
145	other/some
146	paca
147	pain/hurt
148	parrot
149	path
150	penis
151	person/human being/someone
152	pierce
153	pineapple
154	porridge
155	play
156	pumpkin
157	put
158	rain
159	rat
160	raw
161	red
162	return
163	ripe
164	river
165	root
166	rope
167	round
168	run
169	saliva
170	salt
171	sand
172	scare
173	see
174	seed
175	seek
176	send
177	sharpen
178	shell/bark
179	sick/ill
180	sister
181	sit
182	sleep
183	small
184	smoke
185	snake
186	snore
187	son (mo)
188	sour/acid
189	speak
190	spider
191	star
192	stingray
193	stomach
194	stone
195	strong
196	suck
197	sun
198	sweep
199	sweet
200	sweet potato
201	swim
202	tail
203	tapir
204	teach
205	tell/narrate
206	terminate/finish
207	termite
208	testicles
209	thick
210	thing
211	thorn
212	three
213	throat
214	thunder
215	tick
216	tie
217	tired
218	tobacco
219	tomorrow
220	tongue
221	tree
222	turtle
223	two
224	ugly
225	uncle (mobro)
226	untie
227	urinate
228	vein
229	vomit
230	vulture
231	walk
232	want
233	wash
234	wasp
235	water
236	we (excl)
237	we (incl)
238	white
239	worm
240	wet
241	wife
242	wind
243	wing
244	wing
245	woman
246	yellow
247	you (sg)
